Key,Summary,Issue Type,Status,Assignee,Date
HA30-15347,HerdView SnapView: Top Locations Count Mismatch for Total Active and Deceased Animals,Bug,Done,Raji S,10-Sep-26
HA30-15346,Staging Release 5.0.153 (04) for IOS Android and Web,Task,Done,Abraham,10-Sep-26
HA30-15345,Additional IDs: Error Message Displayed While Adding Additional IDs,Bug,Ready for Testing,Allwin. T,10-Sep-26
HA30-15344,Beef Program Details Are Not Displayed in Activity Log After Adding an Animal,Bug,New / Open,Unassigned,10-Sep-26
HA30-15343,Staging Release 5.0.153 (03) for IOS Android and Web,Task,Done,Abraham,10-Sep-26
HA30-15341,Activity Log Dev Task - Undo Chute session animal weight update,Task,New / Open,Alpa Mori,10-Sep-26
HA30-15339,Activity Log Dev Task - Undo Chute session animal movement,Task,New / Open,Alpa Mori,10-Sep-26
HA30-15337,Activity Log Dev Task - Undo Chute session animal info edit,Task,New / Open,Alpa Mori,10-Sep-26
HA30-15336,Activity Log Dev Task - Role based access,Task,New / Open,Alpa Mori,9-Sep-26
HA30-15333,Tag Color Dev Task - Prefill tag color for HerdX tags,Task,Done,Alpa Mori,9-Sep-26
HA30-15332,Herdview Snapview - Mismatches on Top Medicines Administered,Bug,Done,Raji S,9-Sep-26
HA30-15331,Herdview Snapview - Mismatches on Time on Yard Distribution,Bug,Done,Raji S,9-Sep-26
HA30-15330,HerdView SnapView - Mismatches on Animal Status by Sex/Type,Bug,Done,Raji S,9-Sep-26
HA30-15329,Activity Log - Chute session - Add Edit & Delete Treatments,Task,Done,Allwin. T,9-Sep-26
HA30-15328,HerdView SnapView QA Task,Task,In Progress,Raji S,9-Sep-26
HA30-15327,HerdView SnapView – Top Location Is Not Displayed on Right Side,Bug,Done,Raji S,9-Sep-26
HA30-15326,Run QA Automation Regression Suite on Staging build 5.0.153 (02),Task,Done,Mariappan E,9-Sep-26
HA30-15324,Dev task - Implement Crashlytics Error Guard (Counting Sessions),Task,Done,samuel kishore kumar,9-Sep-26
HA30-15320,Firebase Crash - View.of FlutterError,Task,Done,Alpa Mori,9-Sep-26
HA30-15319,Prod issue - Wrong Due date is calculating in Preg Check,Bug,Done,ajith,9-Sep-26
HA30-15313,Staging Release 5.0.153 (02) for IOS Android and Web,Task,Done,Abraham,9-Sep-26
HA30-15312,Prod - Treatment Linking Health info not working,Bug,Done,Abraham,9-Sep-26
HA30-15287,Run QA Automation Regression Suite on Production Hot Fix 1.1.286,Task,Done,Mariappan E,9-Sep-26
HA30-15283,Activity Log - Chute session - Add/ Update Health details,Task,New / Open,Allwin. T,8-Sep-26
HA30-15282,Activity Log - Front development for Chute session Treatments,Task,Done,Allwin. T,8-Sep-26
